Unnamed: 0,number,driver_number,lap_number,lap_time,lap_improvement,crossing_finish_line_in_pit,s1,s1_improvement,s2,s2_improvement,s3,s3_improvement,kph,elapsed,hour,s1_large,s2_large,s3_large,top_speed,driver_name,pit_time,class,group,team,manufacturer,season,circuit,round,vehicle,flag_at_fl,team_no,lap_time_ms,lap_time_s,engine,driver_stint_no,driver_stint,team_stint_no,team_stint,elapsed_ms,position,class_position,interval_ms,interval,gap,class_interval,class_gap,elapsed_s
342239,77,3,63,0 days 00:02:03.307000,0,,36.48,0,42.267,0,44.56,0,175.7,0 days 02:19:38.888000,18:18:55.249,0 days 00:00:36.480000,0 days 00:00:42.267000,0 days 00:00:44.560000,243.2,Matt CAMPBELL,,LMGTE Am,,Dempsey - Proton Racing,Porsche,2018-2019,SEBRING,6,Porsche 911 RSR-19,,Dempsey - Proton Racing #77,123307.0,123.307,Porsche,1,Matt CAMPBELL Stint #1,1,Dempsey - Proton Racing #77 Stint #1,8378888,25.0,3.0,152.0,0.152,1686.964,0.152,3.347,8378.888
199779,88,0,85,0 days 00:04:06.870000,0,,39.313,0,93.112,0,114.445,0,198.7,0 days 06:19:49.388000,21:19:49.388,0 days 00:00:39.313000,0 days 00:01:33.112000,0 days 00:01:54.445000,288.5,Khaled AL QUBAISI,,LMGTE Am,,Abu Dhabi-Proton Racing,Porsche,2016,LE MANS,3,Porsche 911 RSR,,Abu Dhabi-Proton Racing #88,246870.0,246.87,Porsche,2,Khaled AL QUBAISI Stint #2,7,Abu Dhabi-Proton Racing #88 Stint #7,22789388,37.0,1.0,168914.0,168.914,2890.788,0.0,0.0,22789.388
436662,47,1,1,0 days 00:01:57.892000,0,,42.894,0,37.802,0,37.196,1,167.5,0 days 00:01:57.892000,12:02:03.518,0 days 00:00:42.894000,0 days 00:00:37.802000,0 days 00:00:37.196000,231.3,Roberto LACORTE,,LMGTE Am,,Cetilar Racing,Ferrari,2021,AUTODROMO NAZIONALE DI MONZA,3,Ferrari 488 GTE Evo,,Cetilar Racing #47,117892.0,117.892,Ferrari,1,Roberto LACORTE Stint #1,1,Cetilar Racing #47 Stint #1,117892,23.0,2.0,1195.0,1.195,18.527,1.195,1.195,117.892
306488,34,1,11,0 days 00:03:32.160000,0,,34.007,0,80.807,0,97.346,0,231.2,0 days 00:40:21.177000,15:40:38.943,0 days 00:00:34.007000,0 days 00:01:20.807000,0 days 00:01:37.346000,329.8,Ricky TAYLOR,,LMP2,,Jackie Chan DC Racing,Ligier,2018-2019,LE MANS 2018,2,Ligier JSP217,,Jackie Chan DC Racing #34,212160.0,212.16,Gibson,2,Ricky TAYLOR Stint #2,2,Jackie Chan DC Racing #34 Stint #2,2421177,20.0,11.0,6804.0,6.804,155.635,6.804,28.073,2421.177
322525,69,2,306,0 days 00:03:52.508000,0,,36.816,0,89.486,0,106.206,0,211.0,0 days 21:37:30.133000,12:37:47.899,0 days 00:00:36.816000,0 days 00:01:29.486000,0 days 00:01:46.206000,289.3,Richard WESTBROOK,,LMGTE Pro,,Ford Chip Ganassi Team USA,Ford,2018-2019,LE MANS 2018,2,Ford GT,,Ford Chip Ganassi Team USA #69,232508.0,232.508,Ford,9,Richard WESTBROOK Stint #9,23,Ford Chip Ganassi Team USA #69 Stint #23,77850133,24.0,6.0,24690.0,24.69,9565.252,24.69,255.04,77850.133
201981,92,1,122,0 days 00:06:42.833000,0,,54.053,0,166.375,0,182.405,0,121.8,0 days 10:13:52.422000,01:13:52.422,0 days 00:00:54.053000,0 days 00:02:46.375000,0 days 00:03:02.405000,141.8,Earl BAMBER,,LMGTE Pro,,Porsche Motorsport,Porsche,2016,LE MANS,3,Porsche 911 RSR,,Porsche Motorsport #92,402833.0,402.833,Porsche,6,Earl BAMBER Stint #6,11,Porsche Motorsport #92 Stint #11,36832422,55.0,13.0,126869.0,126.869,8927.155999999999,126.869,1015.949,36832.422
148097,31,1,116,0 days 00:03:48.973000,0,,35.603,0,86.79,0,106.58,0,214.3,0 days 08:38:50.251000,23:38,0 days 00:00:35.603000,0 days 00:01:26.790000,0 days 00:01:46.580000,298.0,Johannes VAN OVERBEEK,,LMP2,,Extreme Speed Motorsports,Ligier,2015,LE MANS,3,Ligier JS P2,,Extreme Speed Motorsports #31,228973.0,228.973,Honda,4,Johannes VAN OVERBEEK Stint #4,11,Extreme Speed Motorsports #31 Stint #11,31130251,26.0,12.0,40481.0,40.481,4827.886,40.481,969.493,31130.251
384197,8,1,15,0 days 00:01:48.038000,0,,35.005,0,39.323,0,33.71,0,180.3,0 days 00:29:32.414000,15:29:11.688,0 days 00:00:35.005000,0 days 00:00:39.323000,0 days 00:00:33.710000,242.4,Sébastien BUEMI,,LMP1,H,Toyota Gazoo Racing,Toyota,2019-2020,BAHRAIN INTERNATIONAL CIRCUIT 2019,4,Toyota TS050 Hybrid,,Toyota Gazoo Racing #8,108038.0,108.038,Toyota,1,Sébastien BUEMI Stint #1,1,Toyota Gazoo Racing #8 Stint #1,1772414,3.0,3.0,8555.0,8.555,20.514,8.555,20.514,1772.414
173577,2,2,166,0 days 00:01:29.127000,0,,19.709,0,26.949,1,42.469,0,184.3,0 days 05:02:23.125000,16:02,0 days 00:00:19.709000,0 days 00:00:26.949000,0 days 00:00:42.469000,274.8,Mike CONWAY,,LMP1,H,Toyota Racing,Toyota,2015,FUJI SPEEDWAY,6,Toyota TS 040 Hybrid,,Toyota Racing #2,89127.0,89.127,Toyota,3,Mike CONWAY Stint #3,7,Toyota Racing #2 Stint #7,18143125,7.0,7.0,85945.0,85.945,1179.332,85.945,1179.332,18143.125
407986,3,2,144,0 days 00:03:24.599000,0,,32.51,0,77.74,0,94.349,0,239.8,0 days 09:25:17.262000,23:55:17.262,0 days 00:00:32.510000,0 days 00:01:17.740000,0 days 00:01:34.349000,337.0,Nathanaël BERTHON,,LMP1,,Rebellion Racing,Rebellion,2019-2020,LE MANS,7,Rebellion R13,,Rebellion Racing #3,204599.0,204.599,Gibson,6,Nathanaël BERTHON Stint #6,13,Rebellion Racing #3 Stint #13,33917262,4.0,4.0,151516.0,151.516,576.6669999999999,151.516,576.6669999999999,33917.262
